,date,code,open,close,high,low,volume
0,2017-01-03,sh.600729,23.4900,23.8700,23.8900,23.4900,3806545
1,2017-01-04,sh.600729,23.7500,23.9400,24.0800,23.6400,2454162
2,2017-01-05,sh.600729,24.0000,23.8700,24.0500,23.8100,1963607
3,2017-01-06,sh.600729,23.9600,23.9200,24.0100,23.6000,3030891
4,2017-01-09,sh.600729,23.8500,24.2700,24.3200,23.7000,3572049
5,2017-01-10,sh.600729,24.2000,24.6400,25.1500,24.1500,7185592
6,2017-01-11,sh.600729,24.6000,24.1900,24.6500,24.1800,3474134
7,2017-01-12,sh.600729,24.1900,24.0500,24.3500,23.9600,1579583
8,2017-01-13,sh.600729,23.9800,23.7700,24.3500,23.7600,2099785
9,2017-01-16,sh.600729,23.8300,23.1600,23.9000,22.5300,3621729
10,2017-01-17,sh.600729,23.2300,23.7900,23.8600,23.1600,2418465
11,2017-01-18,sh.600729,23.7900,23.6400,24.0000,23.5400,993822
12,2017-01-19,sh.600729,23.6400,23.6800,24.0800,23.4500,1735531
13,2017-01-20,sh.600729,23.6800,24.1200,24.1400,23.5900,1901264
14,2017-01-23,sh.600729,24.1200,23.9800,24.2400,23.9000,1608991
15,2017-01-24,sh.600729,24.0400,24.0000,24.2900,23.8900,1380449
16,2017-01-25,sh.600729,24.0200,23.8600,24.0700,23.8000,1403769
17,2017-01-26,sh.600729,23.9600,23.8700,23.9700,23.8000,1478374
18,2017-02-03,sh.600729,23.9000,23.7300,23.9000,23.5300,1265618
19,2017-02-06,sh.600729,23.8200,23.8800,23.8900,23.6600,1486863
20,2017-02-07,sh.600729,23.8100,23.6300,23.9000,23.4800,2286969
21,2017-02-08,sh.600729,23.6100,23.6400,23.7200,23.4000,2066720
22,2017-02-09,sh.600729,23.5500,23.7800,23.8400,23.5500,2339328
23,2017-02-10,sh.600729,23.8000,23.9900,24.1900,23.7100,3294339
24,2017-02-13,sh.600729,24.0000,24.1200,24.2000,23.9200,2770379
25,2017-02-14,sh.600729,24.1200,24.1600,24.2800,23.9500,2292661
26,2017-02-15,sh.600729,24.1500,23.8900,24.1900,23.7900,2491148
27,2017-02-16,sh.600729,23.9500,24.2400,24.2500,23.7800,2927613
28,2017-02-17,sh.600729,24.3000,23.8300,24.4000,23.6600,3316570
29,2017-02-20,sh.600729,23.9400,24.4900,24.5000,23.7600,5469289
30,2017-02-21,sh.600729,24.4900,24.8500,25.0000,24.4000,10137657
31,2017-02-22,sh.600729,24.8600,24.9000,25.0000,24.6500,5686217
32,2017-02-23,sh.600729,24.7600,24.3900,24.8700,24.3400,4457740
33,2017-02-24,sh.600729,24.3900,24.4100,24.5500,24.1600,3321335
34,2017-02-27,sh.600729,24.3800,24.3300,24.6500,24.1600,3072157
35,2017-02-28,sh.600729,24.4800,25.1400,25.2500,24.4000,9176136
36,2017-03-01,sh.600729,25.8800,25.1900,26.1800,25.0900,14768370
37,2017-03-02,sh.600729,25.2400,25.9500,26.1700,25.2400,11507954
38,2017-03-03,sh.600729,25.9800,26.2000,26.3300,25.6000,9923279
39,2017-03-06,sh.600729,26.2800,27.0700,27.6900,26.2800,12920762
40,2017-03-07,sh.600729,27.2500,27.8800,28.3800,26.8700,15729938
41,2017-03-08,sh.600729,27.7700,27.4300,28.2100,27.0900,7223307
42,2017-03-09,sh.600729,27.4100,27.5300,27.7000,27.2000,5436870
43,2017-03-10,sh.600729,27.7700,27.2300,28.5000,26.8500,8083389
44,2017-03-13,sh.600729,27.2000,27.3700,27.5400,26.6900,7213703
45,2017-03-14,sh.600729,27.0200,27.0100,27.4300,26.7300,4251774
46,2017-03-15,sh.600729,26.9000,26.7900,27.0100,26.4000,4294415
47,2017-03-16,sh.600729,26.7800,26.9800,27.5200,26.5300,8406656
48,2017-03-17,sh.600729,26.8500,26.1800,27.0600,26.1200,7468780
49,2017-03-20,sh.600729,26.3100,26.3800,26.4700,25.8700,4163024
50,2017-03-21,sh.600729,26.4200,26.7600,26.8600,26.4100,6011887
51,2017-03-22,sh.600729,26.5800,26.3300,26.8800,26.0500,4988012
52,2017-03-23,sh.600729,26.3500,25.9300,26.3500,25.7900,4715341
53,2017-03-24,sh.600729,26.0800,26.1800,26.3700,26.0000,3921610
54,2017-03-27,sh.600729,26.0200,26.2300,26.4500,26.0200,3507059
55,2017-03-28,sh.600729,26.2500,26.3700,26.4400,26.1300,2826585
56,2017-03-29,sh.600729,26.5500,26.9400,27.1000,26.3400,7196898
57,2017-03-30,sh.600729,27.0100,26.3700,27.0900,25.9200,5912965
58,2017-03-31,sh.600729,26.5300,26.5700,26.8700,26.2100,3061866
59,2017-04-05,sh.600729,26.5700,26.2200,26.5800,25.6000,6046484
60,2017-04-06,sh.600729,26.0600,25.6100,26.0600,25.5800,4660274
61,2017-04-07,sh.600729,25.5300,25.3100,25.7200,25.1400,5468367
62,2017-04-10,sh.600729,25.3000,25.5300,25.6500,25.2000,4062239
63,2017-04-11,sh.600729,25.4500,24.2800,25.4600,23.6000,14474446
64,2017-04-12,sh.600729,24.0300,24.1400,24.4800,23.7700,6109353
65,2017-04-13,sh.600729,24.1400,24.4200,24.6700,23.9200,4088062
66,2017-04-14,sh.600729,24.3500,24.0600,24.4500,24.0000,2247666
67,2017-04-17,sh.600729,24.0300,24.3400,24.6000,23.9000,3309892
68,2017-04-18,sh.600729,24.3200,24.3000,24.7600,24.1300,3347639
69,2017-04-19,sh.600729,24.0200,24.0800,24.2800,23.7400,2485843
70,2017-04-20,sh.600729,24.0600,24.6400,24.6800,24.0000,4479720
71,2017-04-21,sh.600729,24.6400,24.3000,24.6400,24.1900,2756318
72,2017-04-24,sh.600729,24.3400,23.5700,24.5000,23.4800,3409796
