,date,code,open,close,volume
0,2017-01-03,sh.601398,4.4000,4.4300,104161632
1,2017-01-04,sh.601398,4.4200,4.4300,118923425
2,2017-01-05,sh.601398,4.4300,4.4400,87356137
3,2017-01-06,sh.601398,4.4400,4.4400,87008191
4,2017-01-09,sh.601398,4.4500,4.4600,117454094
5,2017-01-10,sh.601398,4.4500,4.4600,63663257
6,2017-01-11,sh.601398,4.4600,4.4700,52395427
7,2017-01-12,sh.601398,4.4600,4.4700,62166279
8,2017-01-13,sh.601398,4.4500,4.4900,93851289
9,2017-01-16,sh.601398,4.4700,4.5500,302311392
10,2017-01-17,sh.601398,4.5200,4.5300,90022291
11,2017-01-18,sh.601398,4.5200,4.5300,68290432
12,2017-01-19,sh.601398,4.5300,4.5300,110598840
13,2017-01-20,sh.601398,4.5200,4.5200,67870182
14,2017-01-23,sh.601398,4.5200,4.5300,77011069
15,2017-01-24,sh.601398,4.5200,4.5500,117283449
16,2017-01-25,sh.601398,4.5500,4.5600,68255713
17,2017-01-26,sh.601398,4.5600,4.6000,84502233
18,2017-02-03,sh.601398,4.5900,4.5600,53137727
19,2017-02-06,sh.601398,4.5700,4.5600,55128293
20,2017-02-07,sh.601398,4.5500,4.5500,68414436
21,2017-02-08,sh.601398,4.5500,4.5600,55511309
22,2017-02-09,sh.601398,4.5500,4.5700,65501269
23,2017-02-10,sh.601398,4.5700,4.5900,59720167
24,2017-02-13,sh.601398,4.5900,4.6200,93998902
25,2017-02-14,sh.601398,4.6200,4.6200,80645823
26,2017-02-15,sh.601398,4.6200,4.6800,156678868
27,2017-02-16,sh.601398,4.6800,4.6800,103172534
28,2017-02-17,sh.601398,4.7000,4.6400,95376937
29,2017-02-20,sh.601398,4.6300,4.6700,155702505
30,2017-02-21,sh.601398,4.6800,4.6800,90739831
31,2017-02-22,sh.601398,4.6800,4.7000,60973525
32,2017-02-23,sh.601398,4.7000,4.7100,61309086
33,2017-02-24,sh.601398,4.7000,4.7000,54287246
34,2017-02-27,sh.601398,4.6800,4.6900,58505320
35,2017-02-28,sh.601398,4.6800,4.6900,49814935
36,2017-03-01,sh.601398,4.6800,4.6800,93299143
37,2017-03-02,sh.601398,4.6800,4.6700,50636315
38,2017-03-03,sh.601398,4.6600,4.6500,42939726
39,2017-03-06,sh.601398,4.6400,4.6400,95469655
40,2017-03-07,sh.601398,4.6400,4.6800,85552347
41,2017-03-08,sh.601398,4.6600,4.6900,63630200
42,2017-03-09,sh.601398,4.6800,4.7000,128547007
43,2017-03-10,sh.601398,4.7000,4.7100,52331446
44,2017-03-13,sh.601398,4.7000,4.7300,67420857
45,2017-03-14,sh.601398,4.7200,4.7600,69701533
46,2017-03-15,sh.601398,4.7600,4.7500,58352533
47,2017-03-16,sh.601398,4.7400,4.7000,118257619
48,2017-03-17,sh.601398,4.7100,4.6900,81224950
49,2017-03-20,sh.601398,4.7000,4.7100,83580778
50,2017-03-21,sh.601398,4.7000,4.7100,57111312
51,2017-03-22,sh.601398,4.7100,4.6600,112956144
52,2017-03-23,sh.601398,4.6700,4.6700,89150340
53,2017-03-24,sh.601398,4.6700,4.6900,96980598
54,2017-03-27,sh.601398,4.6700,4.7500,157533741
55,2017-03-28,sh.601398,4.7500,4.7500,76414039
56,2017-03-29,sh.601398,4.7400,4.7800,98222012
57,2017-03-30,sh.601398,4.7700,4.8100,127671435
58,2017-03-31,sh.601398,4.7800,4.8400,130354357
59,2017-04-05,sh.601398,4.8400,4.8500,109486990
60,2017-04-06,sh.601398,4.8500,4.8300,62979558
61,2017-04-07,sh.601398,4.8200,4.8600,89335104
62,2017-04-10,sh.601398,4.8600,4.8300,58855666
63,2017-04-11,sh.601398,4.8100,4.8000,81013654
64,2017-04-12,sh.601398,4.7900,4.8500,113810215
65,2017-04-13,sh.601398,4.8400,4.8100,79977033
66,2017-04-14,sh.601398,4.8000,4.8100,45011667
67,2017-04-17,sh.601398,4.7900,4.8300,112989883
68,2017-04-18,sh.601398,4.8000,4.7900,61091798
69,2017-04-19,sh.601398,4.7700,4.7400,89715577
70,2017-04-20,sh.601398,4.7300,4.7300,64197339
71,2017-04-21,sh.601398,4.7300,4.8100,125002644
72,2017-04-24,sh.601398,4.7900,4.8200,92729293
73,2017-04-25,sh.601398,4.8200,4.8100,63745827
