,date,code,open,close,high,low,volume
0,2017-01-03,sz.300433,27.6900,27.3100,27.9500,26.6500,4689924
1,2017-01-04,sz.300433,27.1300,27.3000,27.5700,27.0100,2312289
2,2017-01-05,sz.300433,27.1700,26.9600,27.4900,26.8000,2535790
3,2017-01-06,sz.300433,26.8300,26.5200,26.9600,26.5000,2063086
4,2017-01-09,sz.300433,26.5500,25.1200,26.8000,24.8300,8619593
5,2017-01-10,sz.300433,25.1400,25.1600,25.5900,24.9500,3601573
6,2017-01-11,sz.300433,25.3300,24.5900,25.3800,24.2000,4702453
7,2017-01-12,sz.300433,24.4500,24.5200,24.8300,24.4500,2270424
8,2017-01-13,sz.300433,24.5700,24.2500,24.6800,24.2000,1679494
9,2017-01-16,sz.300433,24.2700,23.1600,24.4500,22.0500,3181654
10,2017-01-17,sz.300433,23.0900,23.9800,24.1300,22.8100,3537720
11,2017-01-18,sz.300433,23.9200,23.5300,24.1600,23.4500,2215200
12,2017-01-19,sz.300433,23.5200,23.7600,23.9300,23.3900,2527500
13,2017-01-20,sz.300433,23.7000,24.5000,24.8800,23.7000,3408471
14,2017-01-23,sz.300433,24.7800,25.7200,25.9800,24.7800,5379231
15,2017-01-24,sz.300433,25.7200,25.2500,26.0000,25.1100,3846810
16,2017-01-25,sz.300433,25.3000,25.5100,25.6000,25.0600,2515003
17,2017-01-26,sz.300433,25.5000,25.6800,25.7500,25.2600,1712742
18,2017-02-03,sz.300433,25.7100,25.3200,25.9000,25.2000,900857
19,2017-02-06,sz.300433,26.0200,26.3600,26.4300,25.9000,3873713
20,2017-02-07,sz.300433,26.1600,26.2100,26.5000,25.9000,2222540
21,2017-02-08,sz.300433,26.2100,26.5300,26.6400,26.0000,2946376
22,2017-02-09,sz.300433,26.3100,26.4200,26.6700,26.2100,2622410
23,2017-02-10,sz.300433,26.5700,26.2400,26.5700,26.0100,2121987
24,2017-02-13,sz.300433,26.1100,25.8200,26.3900,25.7000,2232773
25,2017-02-14,sz.300433,25.8300,26.7800,26.7800,25.8300,4703813
26,2017-02-15,sz.300433,26.8000,29.0900,29.4600,26.7700,15719141
27,2017-02-16,sz.300433,28.9500,29.5200,29.8800,28.6500,11111769
28,2017-02-17,sz.300433,29.2000,28.1400,29.7400,28.0000,7531685
29,2017-02-20,sz.300433,28.3200,28.2600,28.6500,28.1500,3876351
30,2017-02-21,sz.300433,28.2800,28.7100,29.4700,28.2400,5925876
31,2017-02-22,sz.300433,28.6000,28.5200,28.6800,28.3000,2887825
32,2017-02-23,sz.300433,28.6000,28.8200,29.3000,28.3100,3922771
33,2017-02-24,sz.300433,28.9300,29.0500,29.2000,28.5600,3322533
34,2017-02-27,sz.300433,29.1000,28.6200,29.3800,28.5000,3274838
35,2017-02-28,sz.300433,28.4900,27.9800,28.5800,27.7500,4359228
36,2017-03-01,sz.300433,28.0000,28.3000,29.0000,27.8300,3839879
37,2017-03-02,sz.300433,28.3300,28.5100,28.7800,28.1300,2648401
38,2017-03-03,sz.300433,28.4000,29.4400,29.4900,28.2100,7899157
39,2017-03-06,sz.300433,29.5000,31.4100,31.5300,29.3800,13678253
40,2017-03-07,sz.300433,31.3500,31.4900,31.9500,30.7500,8377255
41,2017-03-08,sz.300433,31.1900,31.2000,31.3800,30.8300,3721127
42,2017-03-09,sz.300433,31.3000,31.0500,31.3400,30.5200,3953244
43,2017-03-10,sz.300433,31.0800,30.4500,31.1900,30.2300,4101134
44,2017-03-13,sz.300433,30.4500,31.4700,31.4700,30.4000,5690500
45,2017-03-14,sz.300433,31.3900,31.0900,31.6000,30.8600,4332155
46,2017-03-15,sz.300433,30.8500,30.6500,31.1600,30.5800,2883639
47,2017-03-16,sz.300433,30.9900,30.5200,31.7800,30.5000,5818514
48,2017-03-17,sz.300433,30.3600,29.6100,30.7900,29.5100,6463287
49,2017-03-20,sz.300433,29.6200,29.6200,29.8000,29.0100,4824053
50,2017-03-21,sz.300433,29.5600,30.0600,30.0600,29.3400,3661347
51,2017-03-22,sz.300433,29.8800,31.3000,31.8400,29.7000,7572859
52,2017-03-23,sz.300433,31.3500,31.3700,31.5500,30.6000,6067306
53,2017-03-24,sz.300433,31.1600,32.4700,32.5700,31.1600,9625990
54,2017-03-27,sz.300433,32.3500,32.1000,32.4000,31.5900,5921554
55,2017-03-28,sz.300433,31.8500,31.5300,32.2200,31.4600,3409540
56,2017-03-29,sz.300433,31.4500,31.0000,32.1400,31.0000,5596196
57,2017-03-30,sz.300433,30.9300,30.3200,31.4600,30.0300,5352193
58,2017-03-31,sz.300433,30.3400,30.7200,30.9000,29.8500,3753009
59,2017-04-05,sz.300433,30.5000,31.4000,31.5300,30.3600,4355306
60,2017-04-06,sz.300433,31.4000,31.1000,31.7200,30.8700,3645967
61,2017-04-07,sz.300433,31.1000,32.0800,32.4900,30.8800,6374091
62,2017-04-10,sz.300433,31.8300,32.5600,32.6000,31.5100,8702767
63,2017-04-11,sz.300433,32.9800,33.4900,33.5000,32.3000,9647488
64,2017-04-12,sz.300433,33.3200,33.2000,33.5600,32.8300,5247915
65,2017-04-13,sz.300433,33.2700,32.0000,33.9000,31.7800,5530018
66,2017-04-14,sz.300433,32.1400,30.9900,32.3400,30.4500,4868037
67,2017-04-17,sz.300433,31.1000,31.1000,31.7300,30.8500,3691571
68,2017-04-18,sz.300433,31.0700,33.0500,33.4400,31.0100,8368240
69,2017-04-19,sz.300433,33.0300,33.1400,33.4900,32.5000,5752855
70,2017-04-20,sz.300433,33.2800,34.1900,34.4900,33.2700,7930536
71,2017-04-21,sz.300433,34.1800,32.7900,34.1800,32.7000,4367030
72,2017-04-24,sz.300433,32.9800,34.7500,34.8500,32.3000,10496401
73,2017-04-25,sz.300433,34.8000,35.0300,35.3100,34.3500,6517672
74,2017-04-26,sz.300433,35.3000,37.0600,37.5800,34.7500,11457765
75,2017-04-27,sz.300433,36.9000,36.8600,38.0800,36.2000,7443997
76,2017-04-28,sz.300433,36.8000,36.7500,37.9900,36.5000,4860116
77,2017-05-02,sz.300433,36.8100,36.7800,37.7000,36.3700,5529478
78,2017-05-03,sz.300433,36.6000,36.0800,36.6000,35.5000,5970250
79,2017-05-04,sz.300433,36.2000,38.6800,39.0000,36.0000,14341942
80,2017-05-05,sz.300433,38.8600,37.9300,39.2500,37.7300,6053134
81,2017-05-08,sz.300433,37.7000,34.9000,37.7000,34.8000,8010252
82,2017-05-09,sz.300433,34.5600,35.7000,36.4700,34.5000,5965750
83,2017-05-10,sz.300433,35.7000,34.5500,35.9400,34.4000,7098228
84,2017-05-11,sz.300433,34.2500,33.8200,35.4900,32.4000,11995700
85,2017-05-12,sz.300433,33.6700,33.4500,34.3800,33.1000,8376861
86,2017-05-15,sz.300433,33.5700,33.4000,34.0000,32.6300,13639572
87,2017-05-16,sz.300433,33.6000,35.9300,36.5900,33.2000,17075228
88,2017-05-17,sz.300433,35.9300,35.2200,36.7500,35.0900,12493068
89,2017-05-18,sz.300433,34.8900,33.9400,35.9800,33.8000,11329401
90,2017-05-19,sz.300433,34.0800,33.5800,34.3900,32.8900,6978309
91,2017-05-22,sz.300433,33.5000,34.2400,34.8500,33.3100,7309233
92,2017-05-23,sz.300433,34.3300,33.1900,34.5900,33.0700,8231864
93,2017-05-24,sz.300433,33.1900,33.9300,34.3000,31.5000,8636936
94,2017-05-25,sz.300433,33.7800,33.7300,34.1900,32.9000,8633839
95,2017-05-26,sz.300433,33.7700,32.8400,33.9600,32.1200,9929026
96,2017-05-31,sz.300433,33.5000,35.1000,35.1200,32.5000,16254487
97,2017-06-01,sz.300433,35.0000,35.6000,35.8500,34.7500,9617362
98,2017-06-02,sz.300433,35.7000,35.3300,35.7000,34.5100,6279609
99,2017-06-05,sz.300433,28.6000,29.8100,30.3000,28.6000,9970711
100,2017-06-06,sz.300433,29.7800,29.3000,29.9600,28.7700,9812100
101,2017-06-07,sz.300433,29.2000,29.8100,30.1800,29.0000,9432623
102,2017-06-08,sz.300433,29.8100,30.1700,30.9200,29.5200,11397626
103,2017-06-09,sz.300433,30.2900,30.7500,30.8600,29.7500,8586783
104,2017-06-12,sz.300433,30.3500,29.8500,30.4000,29.5800,7923231
105,2017-06-13,sz.300433,29.6000,30.7000,30.7500,29.5100,5914925
106,2017-06-14,sz.300433,30.8000,30.3300,30.9100,30.0500,4213833
107,2017-06-15,sz.300433,30.2100,30.3200,30.5800,29.9000,4121902
108,2017-06-16,sz.300433,30.1200,30.0400,30.4600,29.9000,3391818
109,2017-06-19,sz.300433,30.2000,29.8500,30.2600,29.4000,6123681
110,2017-06-20,sz.300433,29.8500,29.0300,30.2000,28.9300,9336254
111,2017-06-21,sz.300433,29.1500,29.6500,29.7700,29.1500,5254519
112,2017-06-22,sz.300433,29.6900,29.8900,30.8700,29.6000,8530505
113,2017-06-23,sz.300433,29.8000,29.4800,30.1700,28.8800,6319923
114,2017-06-26,sz.300433,29.5500,29.8300,30.4000,29.4800,7559243
115,2017-06-27,sz.300433,29.8100,29.5500,30.3400,29.4000,5017259
116,2017-06-28,sz.300433,29.3700,28.8600,29.4000,28.6100,8426535
117,2017-06-29,sz.300433,28.8100,28.8000,28.9900,28.3200,6335131
118,2017-06-30,sz.300433,28.8000,29.0900,29.1900,28.6000,4519208
119,2017-07-03,sz.300433,28.9000,28.9100,29.1500,28.7300,2704225
120,2017-07-04,sz.300433,28.8600,28.4500,28.8600,28.2900,5487813
121,2017-07-05,sz.300433,28.4600,28.5700,28.6200,28.2900,4548524
122,2017-07-06,sz.300433,28.5600,29.2500,29.3200,28.4200,7182885
123,2017-07-07,sz.300433,29.2600,29.9200,30.1000,29.1000,8586365
124,2017-07-10,sz.300433,29.9300,29.0400,29.9400,29.0000,6378718
125,2017-07-11,sz.300433,28.9500,28.4000,29.1800,28.3000,5914685
126,2017-07-12,sz.300433,28.4100,27.9400,28.4100,27.0000,6900720
127,2017-07-13,sz.300433,27.9100,27.9300,28.1300,27.7000,2801497
128,2017-07-14,sz.300433,27.3500,27.7500,27.8200,26.8500,7102026
129,2017-07-17,sz.300433,27.7000,27.9000,28.7400,26.7000,7807934
130,2017-07-18,sz.300433,27.5500,29.0100,29.3000,27.5500,8302161
131,2017-07-19,sz.300433,28.8100,31.9100,31.9100,28.8100,22036371
132,2017-07-20,sz.300433,31.9900,32.0200,32.9800,31.5000,12721026
133,2017-07-21,sz.300433,31.6000,32.6000,33.6000,31.5200,11285473
134,2017-07-24,sz.300433,32.4400,32.5500,32.7900,31.7300,7983749
135,2017-07-25,sz.300433,32.3000,32.7100,33.4300,32.0100,13781176
136,2017-07-26,sz.300433,32.7100,30.7900,32.9000,30.3000,17357801
137,2017-07-27,sz.300433,30.8500,31.2200,31.3700,29.9000,13649970
138,2017-07-28,sz.300433,30.9700,30.1700,31.0400,30.0000,11883282
139,2017-07-31,sz.300433,30.5300,30.2900,30.8700,29.7900,14104039
140,2017-08-01,sz.300433,30.2900,30.3000,30.5300,29.9000,8177029
141,2017-08-02,sz.300433,30.7500,30.1800,31.7500,29.9300,18112659
142,2017-08-03,sz.300433,29.9000,30.4100,30.4200,29.0700,9938323
143,2017-08-04,sz.300433,30.0700,30.4800,30.6500,29.8300,6920331
144,2017-08-07,sz.300433,30.2700,30.1500,30.6000,29.9000,5102580
145,2017-08-08,sz.300433,30.1200,29.8000,30.4400,29.6300,6807560
146,2017-08-09,sz.300433,29.8200,30.3000,30.3700,29.6400,5861280
147,2017-08-10,sz.300433,30.1000,31.4100,31.5000,30.1000,13955247
148,2017-08-11,sz.300433,31.4000,30.4500,31.7800,30.1400,11227471
149,2017-08-14,sz.300433,30.5100,32.4000,33.0800,30.5100,17140683
150,2017-08-15,sz.300433,32.8000,32.6000,33.6500,32.3400,19985919
151,2017-08-16,sz.300433,32.8000,33.1200,33.4500,32.2500,12721499
152,2017-08-17,sz.300433,32.9600,31.9400,32.9600,31.9200,13220422
153,2017-08-18,sz.300433,31.6200,31.1300,32.1400,30.9700,10477252
154,2017-08-21,sz.300433,31.3900,31.8200,31.9700,31.1800,8154709
155,2017-08-22,sz.300433,31.7800,31.3400,31.7900,31.0000,7066991
156,2017-08-23,sz.300433,31.3500,30.9100,31.6200,30.7800,4699956
157,2017-08-24,sz.300433,30.9200,31.4000,31.5000,30.8100,4558041
158,2017-08-25,sz.300433,31.3500,31.4200,31.7000,31.1900,5763945
159,2017-08-28,sz.300433,31.4800,32.0400,32.6200,31.2000,14955209
160,2017-08-29,sz.300433,32.2800,31.7100,32.3300,31.5000,7293621
161,2017-08-30,sz.300433,31.7300,32.4400,32.5800,31.7300,11968701
162,2017-08-31,sz.300433,32.6000,32.3100,32.6000,31.9500,7895206
163,2017-09-01,sz.300433,32.4800,31.5000,32.4800,31.1300,14684412
164,2017-09-04,sz.300433,31.5600,31.2600,31.5700,30.6600,12116978
165,2017-09-05,sz.300433,31.3600,31.1000,31.3800,30.7000,7655109
166,2017-09-06,sz.300433,31.0000,31.4800,31.5000,30.7500,6746094
167,2017-09-07,sz.300433,31.4000,31.2900,32.2800,31.1900,13051271
168,2017-09-08,sz.300433,31.0600,31.1100,31.1900,30.7800,7023925
169,2017-09-11,sz.300433,31.1000,31.0600,31.3600,30.5400,7927927
170,2017-09-12,sz.300433,31.0600,30.8700,31.1700,30.6200,7413906
171,2017-09-13,sz.300433,31.2000,29.7300,31.3600,29.4300,14798737
172,2017-09-14,sz.300433,29.5000,29.4000,30.1000,29.0100,8635271
173,2017-09-15,sz.300433,29.2400,29.2400,29.7600,29.1200,7696822
174,2017-09-18,sz.300433,29.4800,29.9600,30.1800,29.4800,8255809
