date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,date,divCash,high,low,open,splitFactor,volume
2010-01-04T00:00:00.000Z,133.9,136.61,133.14,136.25,7599900,133.9,2010-01-04T00:00:00.000Z,0.0,136.61,133.14,136.25,1.0,7599900
2010-01-05T00:00:00.000Z,134.69,135.479,131.81,133.43,8851900,134.69,2010-01-05T00:00:00.000Z,0.0,135.479,131.81,133.43,1.0,8851900
2010-01-06T00:00:00.000Z,132.25,134.73,131.65,134.6,7178800,132.25,2010-01-06T00:00:00.000Z,0.0,134.73,131.65,134.6,1.0,7178800
2010-01-07T00:00:00.000Z,130.0,132.32,128.8,132.01,11030200,130.0,2010-01-07T00:00:00.000Z,0.0,132.32,128.8,132.01,1.0,11030200
2010-01-08T00:00:00.000Z,133.52,133.68,129.03,130.56,9830500,133.52,2010-01-08T00:00:00.000Z,0.0,133.68,129.03,130.56,1.0,9830500
2010-01-11T00:00:00.000Z,130.308,132.8,129.21,132.62,8779400,130.308,2010-01-11T00:00:00.000Z,0.0,132.8,129.21,132.62,1.0,8779400
2010-01-12T00:00:00.000Z,127.35,129.82,126.55,128.99,9096300,127.35,2010-01-12T00:00:00.000Z,0.0,129.82,126.55,128.99,1.0,9096300
2010-01-13T00:00:00.000Z,129.11,129.71,125.75,127.9021,10723200,129.11,2010-01-13T00:00:00.000Z,0.0,129.71,125.75,127.9021,1.0,10723200
2010-01-14T00:00:00.000Z,127.35,130.38,126.4,129.14,9774900,127.35,2010-01-14T00:00:00.000Z,0.0,130.38,126.4,129.14,1.0,9774900
2010-01-15T00:00:00.000Z,127.14,129.65,127.06,129.18,15376500,127.14,2010-01-15T00:00:00.000Z,0.0,129.65,127.06,129.18,1.0,15376500
2010-01-19T00:00:00.000Z,127.61,128.0,124.33,126.2,8892600,127.61,2010-01-19T00:00:00.000Z,0.0,128.0,124.33,126.2,1.0,8892600
2010-01-20T00:00:00.000Z,125.78,129.2,125.08,127.13,9074700,125.78,2010-01-20T00:00:00.000Z,0.0,129.2,125.08,127.13,1.0,9074700
2010-01-21T00:00:00.000Z,126.62,128.15,125.0,127.26,9970600,126.62,2010-01-21T00:00:00.000Z,0.0,128.15,125.0,127.26,1.0,9970600
2010-01-22T00:00:00.000Z,121.43,127.67,120.76,125.6,11568900,121.43,2010-01-22T00:00:00.000Z,0.0,127.67,120.76,125.6,1.0,11568900
2010-01-25T00:00:00.000Z,120.31,122.28,118.12,122.1,12023900,120.31,2010-01-25T00:00:00.000Z,0.0,122.28,118.12,122.1,1.0,12023900
2010-01-26T00:00:00.000Z,119.48,122.98,119.061,120.56,9559000,119.48,2010-01-26T00:00:00.000Z,0.0,122.98,119.061,120.56,1.0,9559000
2010-01-27T00:00:00.000Z,122.75,123.33,118.8,121.03,14765300,122.75,2010-01-27T00:00:00.000Z,0.0,123.33,118.8,121.03,1.0,14765300
2010-01-28T00:00:00.000Z,126.03,127.2,122.8,124.43,27293100,126.03,2010-01-28T00:00:00.000Z,0.0,127.2,122.8,124.43,1.0,27293100
2010-01-29T00:00:00.000Z,125.41,131.8499,124.14,129.77,29471300,125.41,2010-01-29T00:00:00.000Z,0.0,131.8499,124.14,129.77,1.0,29471300
2010-02-01T00:00:00.000Z,118.87,124.86,113.82,123.18,37774400,118.87,2010-02-01T00:00:00.000Z,0.0,124.86,113.82,123.18,1.0,37774400
