date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,date,divCash,high,low,open,splitFactor,volume
2010-01-04T00:00:00.000Z,50.5928674646,50.6733478033,49.8904935996,50.2782625043,27809100,69.15,2010-01-04T00:00:00.000Z,0.0,69.26,68.19,68.72,1.0,27809100
2010-01-05T00:00:00.000Z,50.7904101142,50.8123592974,50.3367936597,50.6221330423,30174700,69.42,2010-01-05T00:00:00.000Z,0.0,69.45,68.8,69.19,1.0,30174700
2010-01-06T00:00:00.000Z,51.2293937798,51.6537446566,50.7318789587,50.8123592974,35044700,70.02,2010-01-06T00:00:00.000Z,0.0,70.6,69.34,69.45,1.0,35044700
2010-01-07T00:00:00.000Z,51.0684331024,51.2586593575,50.7867519169,51.1415970467,27192100,69.8,2010-01-07T00:00:00.000Z,0.0,70.06,69.415,69.9,1.0,27192100
2010-01-08T00:00:00.000Z,50.8635740584,51.0318511303,50.6440822256,50.9879527637,24891800,69.52,2010-01-08T00:00:00.000Z,0.0,69.75,69.22,69.69,1.0,24891800
2010-01-11T00:00:00.000Z,51.4342528238,51.5952135012,50.958687186,51.1708626244,30685000,70.3,2010-01-11T00:00:00.000Z,0.0,70.52,69.65,69.94,1.0,30685000
2010-01-12T00:00:00.000Z,51.1781790188,51.2074445965,50.8635740584,51.009901947,31496700,69.95,2010-01-12T00:00:00.000Z,0.0,69.99,69.52,69.72,1.0,31496700
2010-01-13T00:00:00.000Z,50.9733199748,51.2440265687,50.6733478033,51.1854954132,24884400,69.67,2010-01-13T00:00:00.000Z,0.0,70.04,69.26,69.96,1.0,24884400
2010-01-14T00:00:00.000Z,50.9806363693,51.0245347358,50.7391953532,50.8782068473,18630800,69.68,2010-01-14T00:00:00.000Z,0.0,69.74,69.35,69.54,1.0,18630800
2010-01-15T00:00:00.000Z,50.5636018869,50.9879527637,50.2270477433,50.958687186,29411900,69.11,2010-01-15T00:00:00.000Z,0.0,69.69,68.65,69.65,1.0,29411900
2010-01-19T00:00:00.000Z,50.6806641978,50.7391953532,50.0587706714,50.2928952931,26081900,69.27,2010-01-19T00:00:00.000Z,0.0,69.35,68.42,68.74,1.0,26081900
2010-01-20T00:00:00.000Z,49.7734312888,50.2343641377,49.7020964431,50.1612001934,34629500,68.03,2010-01-20T00:00:00.000Z,0.0,68.66,67.9325,68.56,1.0,34629500
2010-01-21T00:00:00.000Z,48.8003508299,49.8612280219,48.6540229414,49.8392788386,39114000,66.7,2010-01-21T00:00:00.000Z,0.0,68.15,66.5,68.12,1.0,39114000
2010-01-22T00:00:00.000Z,48.3613671643,49.1222721847,48.28820322,48.6686557303,39085500,66.1,2010-01-22T00:00:00.000Z,0.0,67.14,66.0,66.52,1.0,39085500
2010-01-25T00:00:00.000Z,48.1784573036,48.8442491965,48.0613949928,48.6906049135,29305100,65.85,2010-01-25T00:00:00.000Z,0.0,66.76,65.69,66.55,1.0,29305100
2010-01-26T00:00:00.000Z,48.2296720646,48.8296164077,47.9223834987,48.0248130207,34083300,65.92,2010-01-26T00:00:00.000Z,0.0,66.74,65.5,65.64,1.0,34083300
2010-01-27T00:00:00.000Z,47.9516490764,48.3321015866,47.5565637773,48.0394458095,35723500,65.54,2010-01-27T00:00:00.000Z,0.0,66.06,65.0,65.66,1.0,35723500
2010-01-28T00:00:00.000Z,47.5272981996,48.1784573036,47.2419588169,48.1784573036,37349800,64.96,2010-01-28T00:00:00.000Z,0.0,65.85,64.57,65.85,1.0,37349800
2010-01-29T00:00:00.000Z,47.139529295,48.1565081203,46.8395571234,47.6663096937,40880500,64.43,2010-01-29T00:00:00.000Z,0.0,65.82,64.02,65.15,1.0,40880500
2010-02-01T00:00:00.000Z,48.4198983197,48.5881753916,47.8126375823,48.1199261482,37703000,66.18,2010-02-01T00:00:00.000Z,0.0,66.41,65.35,65.77,1.0,37703000
2010-02-02T00:00:00.000Z,48.9905770851,49.1076393959,48.6320737581,48.8223000132,34057900,66.96,2010-02-02T00:00:00.000Z,0.0,67.12,66.47,66.73,1.0,34057900
2010-02-03T00:00:00.000Z,48.7271868857,49.1881197346,48.697921308,48.9320459296,24024700,66.6,2010-02-03T00:00:00.000Z,0.0,67.23,66.56,66.88,1.0,24024700
2010-02-04T00:00:00.000Z,47.3517047333,48.544277025,47.3224391556,48.4857458696,33858200,64.72,2010-02-04T00:00:00.000Z,0.0,66.35,64.68,66.27,1.0,33858200
2010-02-05T00:00:00.000Z,47.1029473228,47.483399833,46.5030029798,47.3370719445,42297500,64.38,2010-02-05T00:00:00.000Z,0.0,64.9,63.56,64.7,1.0,42297500
2010-02-08T00:00:00.000Z,47.3882867055,48.227799477,47.3809225584,47.8006789441,30519400,64.35,2010-02-08T00:00:00.000Z,0.42,65.49,64.34,64.91,1.0,30519400
2010-02-09T00:00:00.000Z,48.0142392105,48.3898107136,47.542933795,47.9479618865,36243300,65.2,2010-02-09T00:00:00.000Z,0.0,65.71,64.56,65.11,1.0,36243300
2010-02-10T00:00:00.000Z,47.7564940614,48.0289675048,47.2483679102,47.9258694451,21699100,64.85,2010-02-10T00:00:00.000Z,0.0,65.22,64.16,65.08,1.0,21699100
2010-02-11T00:00:00.000Z,48.043695799,48.2204353298,47.4324715882,47.6386677075,23555200,65.24,2010-02-11T00:00:00.000Z,0.0,65.48,64.41,64.69,1.0,23555200
2010-02-12T00:00:00.000Z,47.7196733258,47.9700543278,47.3367376757,47.5871186777,30636200,64.8,2010-02-12T00:00:00.000Z,0.0,65.14,64.28,64.62,1.0,30636200
2010-02-16T00:00:00.000Z,48.8095670993,48.8832085705,47.9258694451,48.1909787414,30514900,66.28,2010-02-16T00:00:00.000Z,0.0,66.38,65.08,65.44,1.0,30514900
2010-02-17T00:00:00.000Z,48.4266314491,48.9347576003,48.2867126539,48.853751982,21821800,65.76,2010-02-17T00:00:00.000Z,0.0,66.45,65.57,66.34,1.0,21821800
2010-02-18T00:00:00.000Z,48.5739143915,48.669648304,48.1247014173,48.4560880376,22536700,65.96,2010-02-18T00:00:00.000Z,0.0,66.09,65.35,65.8,1.0,22536700
2010-02-19T00:00:00.000Z,48.5076370674,48.7801105108,48.1836145942,48.3014409481,24264600,65.87,2010-02-19T00:00:00.000Z,0.0,66.24,65.43,65.59,1.0,24264600
2010-02-22T00:00:00.000Z,48.1615221529,48.6917407454,48.0510599461,48.6770124512,20469700,65.4,2010-02-22T00:00:00.000Z,0.0,66.12,65.25,66.1,1.0,20469700
2010-02-23T00:00:00.000Z,47.8227713855,48.2793485068,47.2410037631,48.0584240932,33372900,64.94,2010-02-23T00:00:00.000Z,0.0,65.56,64.15,65.26,1.0,33372900
2010-02-24T00:00:00.000Z,48.2719843597,48.5052068989,47.6975808844,47.8743204153,21469600,65.55,2010-02-24T00:00:00.000Z,0.0,65.8667,64.77,65.01,1.0,21469600
2010-02-25T00:00:00.000Z,47.9700543278,47.9921467692,47.4030149997,47.5797545306,25668800,65.14,2010-02-25T00:00:00.000Z,0.0,65.17,64.37,64.61,1.0,25668800
2010-02-26T00:00:00.000Z,47.8669562682,48.1615221529,47.8080430912,48.0584240932,20129700,65.0,2010-02-26T00:00:00.000Z,0.0,65.4,64.92,65.26,1.0,20129700
2010-03-01T00:00:00.000Z,48.1615221529,48.2646202125,47.9332335922,48.1320655644,18798600,65.4,2010-03-01T00:00:00.000Z,0.0,65.54,65.09,65.36,1.0,18798600
2010-03-02T00:00:00.000Z,48.227799477,48.4487238905,47.9774184749,48.352989978,24823900,65.49,2010-03-02T00:00:00.000Z,0.0,65.79,65.15,65.66,1.0,24823900
2010-03-03T00:00:00.000Z,48.1836145942,48.5812785386,48.1467938587,48.4339955963,22279800,65.43,2010-03-03T00:00:00.000Z,0.0,65.97,65.38,65.77,1.0,22279800
2010-03-04T00:00:00.000Z,48.1615221529,48.3308975366,47.9258694451,48.1836145942,21961100,65.4,2010-03-04T00:00:00.000Z,0.0,65.63,65.08,65.43,1.0,21961100
2010-03-05T00:00:00.000Z,48.9494858945,48.9863066301,48.4413597434,48.5739143915,26837900,66.47,2010-03-05T00:00:00.000Z,0.0,66.52,65.78,65.96,1.0,26837900
2010-03-08T00:00:00.000Z,48.9568500417,49.1851386023,48.7727463637,49.1704103081,20297200,66.48,2010-03-08T00:00:00.000Z,0.0,66.79,66.23,66.77,1.0,20297200
2010-03-09T00:00:00.000Z,49.1777744552,49.479704487,48.7653822166,48.8390236878,29003100,66.78,2010-03-09T00:00:00.000Z,0.0,67.19,66.22,66.32,1.0,29003100
2010-03-10T00:00:00.000Z,49.5017969284,49.6453977972,49.1777744552,49.4576120457,24810300,67.22,2010-03-10T00:00:00.000Z,0.0,67.415,66.78,67.16,1.0,24810300
2010-03-11T00:00:00.000Z,49.5017969284,49.7521779304,49.3250573976,49.6269874294,19357400,67.22,2010-03-11T00:00:00.000Z,0.0,67.56,66.98,67.39,1.0,19357400
2010-03-12T00:00:00.000Z,49.1925027494,49.7669062246,48.9715783359,49.7669062246,23361800,66.8,2010-03-12T00:00:00.000Z,0.0,67.58,66.5,67.58,1.0,23361800
2010-03-15T00:00:00.000Z,48.8242953935,49.1114971311,48.5297295088,49.0967688369,22070000,66.3,2010-03-15T00:00:00.000Z,0.0,66.69,65.9,66.67,1.0,22070000
2010-03-16T00:00:00.000Z,49.0231273657,49.104132984,48.60337098,49.0083990715,35103700,66.57,2010-03-16T00:00:00.000Z,0.0,66.68,66.0,66.55,1.0,35103700
2010-03-17T00:00:00.000Z,49.604894988,49.9215533141,49.1925027494,49.2735083677,38770000,67.36,2010-03-17T00:00:00.000Z,0.0,67.79,66.8,66.91,1.0,38770000
2010-03-18T00:00:00.000Z,49.6269874294,49.8847325785,49.3471498389,49.7079930477,25925500,67.39,2010-03-18T00:00:00.000Z,0.0,67.74,67.01,67.5,1.0,25925500
2010-03-19T00:00:00.000Z,49.3692422803,49.9951947853,48.9200293061,49.9583740497,45564200,67.04,2010-03-19T00:00:00.000Z,0.0,67.89,66.43,67.84,1.0,45564200
2010-03-22T00:00:00.000Z,49.3176932504,49.4870686342,48.8390236878,48.9642141888,21390600,66.97,2010-03-22T00:00:00.000Z,0.0,67.2,66.32,66.49,1.0,21390600
2010-03-23T00:00:00.000Z,49.3029649562,49.3250573976,48.9347576003,49.2956008091,24754700,66.95,2010-03-23T00:00:00.000Z,0.0,66.98,66.45,66.94,1.0,24754700
2010-03-24T00:00:00.000Z,48.9715783359,49.2366876321,48.7727463637,49.0231273657,19748800,66.5,2010-03-24T00:00:00.000Z,0.0,66.86,66.23,66.57,1.0,19748800
2010-03-25T00:00:00.000Z,48.8242953935,49.2808725149,48.7801105108,49.1998668965,21095600,66.3,2010-03-25T00:00:00.000Z,0.0,66.92,66.24,66.81,1.0,21095600
2010-03-26T00:00:00.000Z,49.0010349244,49.2514159264,48.728561481,48.9273934532,30553400,66.54,2010-03-26T00:00:00.000Z,0.0,66.88,66.17,66.44,1.0,30553400
2010-03-29T00:00:00.000Z,49.5607101053,49.6932647535,49.03785566,49.0894046898,26122200,67.3,2010-03-29T00:00:00.000Z,0.0,67.48,66.59,66.66,1.0,26122200
2010-03-30T00:00:00.000Z,49.3766064274,49.5607101053,49.1851386023,49.479704487,17745900,67.05,2010-03-30T00:00:00.000Z,0.0,67.3,66.79,67.19,1.0,17745900
2010-03-31T00:00:00.000Z,49.3250573976,49.479704487,49.0452198071,49.2956008091,22352500,66.98,2010-03-31T00:00:00.000Z,0.0,67.19,66.6,66.94,1.0,22352500
2010-04-01T00:00:00.000Z,49.788998666,49.9289174612,49.479704487,49.538617664,19614700,67.61,2010-04-01T00:00:00.000Z,0.0,67.8,67.19,67.27,1.0,19614700
2010-04-05T00:00:00.000Z,50.2161191989,50.3413096999,49.8700042843,49.9583740497,20901100,68.19,2010-04-05T00:00:00.000Z,0.0,68.36,67.72,67.84,1.0,20901100
2010-04-06T00:00:00.000Z,50.0025589324,50.3339455527,49.9289174612,50.0688362565,19776800,67.9,2010-04-06T00:00:00.000Z,0.0,68.35,67.8,67.99,1.0,19776800
2010-04-07T00:00:00.000Z,49.5901666938,49.9657381968,49.3176932504,49.9510099026,24531500,67.34,2010-04-07T00:00:00.000Z,0.0,67.85,66.97,67.83,1.0,24531500
2010-04-08T00:00:00.000Z,49.973102344,50.2418937138,49.229323485,49.3471498389,24060800,67.86,2010-04-08T00:00:00.000Z,0.0,68.225,66.85,67.01,1.0,24060800
2010-04-09T00:00:00.000Z,50.6358755846,50.7978868212,50.1277494334,50.1572060219,21099600,68.76,2010-04-09T00:00:00.000Z,0.0,68.98,68.07,68.11,1.0,21099600
2010-04-12T00:00:00.000Z,50.599054849,50.849435851,50.5033209365,50.6653321731,18170300,68.71,2010-04-12T00:00:00.000Z,0.0,69.05,68.58,68.8,1.0,18170300
2010-04-13T00:00:00.000Z,50.5622341134,50.6358755846,50.1277494334,50.4223153182,19177100,68.66,2010-04-13T00:00:00.000Z,0.0,68.76,68.07,68.47,1.0,19177100
